I | 2016-10-13 18:26:17,084 i.getquill.FinagleMysqlContext [finagle/netty3-3] - [b0f576b3f5f2410a] SELECT t.id, t.entity_name, t.aliases, t.n_status, t.entity_type FROM tbl_entity_tagged t WHERE t.entity_name IN (?, ?) ~ executeQuery(:71) 
I | 2016-10-13 18:26:17,085 i.getquill.FinagleMysqlContext [finagle/netty3-3] - [b0f576b3f5f2410a] SELECT t.id, t.entity_name, t.aliases, t.n_status, t.entity_type FROM tbl_entity_tagged t WHERE t.entity_name IN (?, ?, ?) ~ executeQuery(:71) 
I | 2016-10-13 18:26:17,094 i.getquill.FinagleMysqlContext [finagle/netty3-3] - [b0f576b3f5f2410a] SELECT d.id, d.resource_dbp, d.category_dbp, d.category_type FROM dbpedia_resource_category d WHERE d.resource_dbp IN (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?) ~ executeQuery(:71) 
I | 2016-10-13 18:26:17,192 i.getquill.FinagleMysqlContext [finagle/netty3-6] - [b0f576b3f5f2410a] SELECT t.id, t.entity_name, t.aliases, t.n_status, t.entity_type FROM tbl_entity_tagged t WHERE t.entity_name IN (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?) ~ executeQuery(:71) 
D | 2016-10-13 18:26:17,353 c.t.f.http.request.MediaRange$ [finagle/netty3-6] - [b0f576b3f5f2410a] Reached the last media range : '*/*' ~ debug(:86) 
I | 2016-10-13 18:27:07,598 i.getquill.FinagleMysqlContext [finagle/netty3-3] - [d2a0bb6e8a1adcc3] SELECT x2.id, x2.title, x2.body FROM sasha_article x2 WHERE x2.id = ? LIMIT 1 ~ executeQuery(:71) 
I | 2016-10-13 18:27:07,698 i.getquill.FinagleMysqlContext [finagle/netty3-3] - [d2a0bb6e8a1adcc3] SELECT t.id, t.entity_name, t.aliases, t.n_status, t.entity_type FROM tbl_entity_tagged t WHERE t.entity_name IN (?) ~ executeQuery(:71) 
I | 2016-10-13 18:27:07,699 i.getquill.FinagleMysqlContext [finagle/netty3-3] - [d2a0bb6e8a1adcc3] SELECT t.id, t.entity_name, t.aliases, t.n_status, t.entity_type FROM tbl_entity_tagged t WHERE t.entity_name IN (?, ?) ~ executeQuery(:71) 
I | 2016-10-13 18:27:07,700 i.getquill.FinagleMysqlContext [finagle/netty3-3] - [d2a0bb6e8a1adcc3] SELECT t.id, t.entity_name, t.aliases, t.n_status, t.entity_type FROM tbl_entity_tagged t WHERE t.entity_name IN (?, ?, ?) ~ executeQuery(:71) 
I | 2016-10-13 18:27:07,701 i.getquill.FinagleMysqlContext [finagle/netty3-3] - [d2a0bb6e8a1adcc3] SELECT t.id, t.entity_name, t.aliases, t.n_status, t.entity_type FROM tbl_entity_tagged t WHERE t.entity_name IN (?) ~ executeQuery(:71) 
